format,n,valid_n,median,q1,q3,mean,trimmed_mean,winsorized_mean,bootstrap_median_ci_low,bootstrap_median_ci_high,sample_note
post,137,137,6.296836493486898,5.362792386287019,6.403366634414744,5.923400880244204,5.9887742309294225,5.880938952081464,6.235296279958829,6.342403570613446,cautious
video,13,13,6.4466019417475735,5.3169965277777775,8.515361392292666,11.130046676079754,6.77164294147788,8.518449540891469,5.3169965277777775,8.515361392292666,cautious
