day_of_week,n,valid_n,median,q1,q3,mean,trimmed_mean,winsorized_mean,bootstrap_median_ci_low,bootstrap_median_ci_high,sample_note
Friday,28,28,6.395608518964648,6.241603526183061,6.505492206598398,8.480852129881585,6.338035990187879,6.417050422781846,6.285279565491331,6.452093023255815,cautious
Wednesday,27,27,6.360757502673908,5.39611372897134,6.497494948169928,6.10890282910659,6.041992366180321,6.045869327141531,6.2385736423310645,6.4660056657223794,cautious
Saturday,26,26,5.416851140361906,5.279702442079349,6.322591233886111,5.710924773195537,5.561683765250461,5.66114167299316,5.324169556597299,6.238619676945668,cautious
Thursday,20,20,6.370556602147589,6.294062186999497,6.428627424048894,6.248102616478914,6.317473447918242,6.248188824431876,6.305948106265424,6.414338703265291,cautious
Sunday,19,19,6.31715210355987,5.3303140485296385,6.400882323776539,6.008246940390732,5.964246442324247,5.917104017637545,5.362792386287019,6.398798798798799,cautious
Tuesday,16,16,5.326651586549328,5.086879340277777,6.280836845206988,5.498191740975391,5.5099215390442655,5.4967509116947815,5.149357638888889,6.268933539412674,cautious
Monday,14,14,5.417694145483363,5.3231173538926715,6.318554330356311,5.5870310860170065,5.63552068496096,5.606268291096939,5.3169965277777775,6.301885025784481,cautious
