,missing_count,missing_pct
id,0,0.0
date,0,0.0
format,0,0.0
topic,0,0.0
pillar,0,0.0
hook,0,0.0
caption,0,0.0
cta,14,9.333333333333334
post_time,0,0.0
reach,0,0.0
impressions,0,0.0
likes,0,0.0
comments,0,0.0
shares,0,0.0
saves,0,0.0
video_views,137,91.33333333333333
watch_time_sec,137,91.33333333333333
video_duration_sec,137,91.33333333333333
