time_of_day,n,valid_n,median,q1,q3,mean,trimmed_mean,winsorized_mean,bootstrap_median_ci_low,bootstrap_median_ci_high,sample_note
Late night,50,50,6.315482142533174,5.359324575406467,6.410104194119934,5.9108089477523285,5.996880264854496,5.88657406475163,5.84921007025673,6.388297872340426,cautious
Afternoon,49,49,6.2385736423310645,5.356408689371632,6.441048034934497,7.1865290242885855,5.91647973628174,6.009551660067591,5.405573930488532,6.327420546932743,cautious
Morning,43,43,6.325785817996311,5.426635931853776,6.403166241584512,5.9171998716361305,6.04258875513606,5.91818299902728,5.759629868732516,6.392081120231772,cautious
Evening,7,7,6.3850478245810365,5.269412343118011,8.480313335501606,6.827745500160288,6.827745500160288,6.820351367222393,5.221828158458244,8.515361392292666,cautious
Night,1,1,6.282344823260044,6.282344823260044,6.282344823260044,6.282344823260044,6.282344823260044,6.282344823260044,6.282344823260044,6.282344823260044,anecdotal
