hook_style,n,valid_n,median,q1,q3,mean,trimmed_mean,winsorized_mean,bootstrap_median_ci_low,bootstrap_median_ci_high,sample_note
Emotional / social,71,71,6.312816799420709,5.39611372897134,6.419376790517242,5.993753236912346,6.041391179646599,5.983852895663233,6.2385736423310645,6.3850478245810365,cautious
Other,29,29,6.235296279958829,5.310767738359202,6.394342102518098,7.938446389857979,5.881552598658043,5.95861796040808,5.358168638446283,6.370833058131964,cautious
Aspirational,24,24,6.35032012007756,5.402178931701634,6.465448904854098,6.049262319037221,6.000239119792026,6.003679694417218,5.447370173841612,6.409647545710506,cautious
Direct utility,18,18,6.261744488890282,5.368677316435814,6.390083592875811,5.981030591215374,5.903899550277519,5.872282909194265,5.377993731997263,6.361246270843937,cautious
Question,6,6,5.842551668209563,5.267045101096613,6.37532986844745,6.151309739100711,6.151309739100711,6.069372625058473,5.185592898673566,7.425784650419004,cautious
List / specificity,2,2,5.338198761230243,4.761790208116272,5.914607314344213,5.338198761230243,5.338198761230243,5.338198761230243,4.185381655002303,6.491015867458183,anecdotal
