timestamp,run_id,asset,provider,model_or_tool,operation,quantity,unit_cost_inr,total_cost_inr,paid_or_free,evidence_or_receipt_reference,notes
2026-07-17 20:19:48.831059+00:00,budgetfitzz-20260717T201909Z,day01_capsule_formula.png,deterministic-template,Pillow procedural renderer,local asset generation,1,0.0,0.0,free,Local execution trace; no paid call or receipt,"Currency INR; direct revised-content generation cost INR 0. Development subscriptions, if any, are outside the direct-generation cap."
2026-07-17 20:19:48.837535+00:00,budgetfitzz-20260717T201909Z,day02_one_shirt_three_ways.mp4,huggingface + local,Wan 2.2 HF photographic source + Pillow overlays + FFmpeg NVENC,promotional-credit source + local compositing,1,0.0,0.0,free,logs/hf_promotional_credit_test.json; included credit confirmed by user,Currency INR; cash cost INR 0; promotional-credit list value USD 0.025; FAL not used.
2026-07-17 20:19:48.843535+00:00,budgetfitzz-20260717T201909Z,day03_colour_vote.png,deterministic-template,Pillow procedural renderer,local asset generation,1,0.0,0.0,free,Local execution trace; no paid call or receipt,"Currency INR; direct revised-content generation cost INR 0. Development subscriptions, if any, are outside the direct-generation cap."
2026-07-17 20:19:48.849533+00:00,budgetfitzz-20260717T201909Z,day04_budget_priority.png,deterministic-template,Pillow procedural renderer,local asset generation,1,0.0,0.0,free,Local execution trace; no paid call or receipt,"Currency INR; direct revised-content generation cost INR 0. Development subscriptions, if any, are outside the direct-generation cap."
2026-07-17 20:19:48.855531+00:00,budgetfitzz-20260717T201909Z,day05_fit_mistakes.mp4,huggingface + local,Wan 2.2 HF photographic source + Pillow overlays + FFmpeg NVENC,promotional-credit source + local compositing,1,0.0,0.0,free,logs/hf_promotional_credit_day05.json; included credit confirmed by user,Currency INR; cash cost INR 0; promotional-credit list value USD 0.025; FAL not used.
2026-07-17 20:19:48.860529+00:00,budgetfitzz-20260717T201909Z,day06_sneaker_scorecard.png,deterministic-template,Pillow procedural renderer,local asset generation,1,0.0,0.0,free,Local execution trace; no paid call or receipt,"Currency INR; direct revised-content generation cost INR 0. Development subscriptions, if any, are outside the direct-generation cap."
2026-07-17 20:19:48.866529+00:00,budgetfitzz-20260717T201909Z,day07_wardrobe_audit.png,deterministic-template,Pillow procedural renderer,local asset generation,1,0.0,0.0,free,Local execution trace; no paid call or receipt,"Currency INR; direct revised-content generation cost INR 0. Development subscriptions, if any, are outside the direct-generation cap."
